"Record.ID","Locus_at_Peak","P_value_of_MAX","Description"
"1428989_at","D17Mit213",0.002,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","D17Mit213",0.000175438596491273,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","D17Mit213",0.000249999999999972,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1459011_at","D3Mit43",0.0043333333333333,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1459011_at","D3Mit43",0.016,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1459011_at","D3Mit43",0.00219999999999998,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1434769_at","D3Mit156",0.028,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"10024411596","rs3673807",0.029,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3707749",4e-04,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3684547",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3704177",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3675860",0.047,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3704177",0.025,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3688854",0.024,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3680829",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3725336",0.008,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3685112",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3697418",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3684547",0.008,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3705130",2e-04,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1458719_at","rs33082005",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs33082005",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs33082005",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs29360685",0.02,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",0.000294117647058778,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",1.00000000002876e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs33082005",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",0.000161290322580609,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",2.47524752474693e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",5.00000000003276e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",1.00000000002876e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",5.00000000003276e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",2.46913580247421e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",0.000158730158730136,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",3.28947368420929e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",1.00000000002876e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at_B","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",1.00000000002876e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs46175605",0.014,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0.021,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rsm10000013430",0.00700000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",9.00000000003676e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",1.12485939257612e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1458719_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1445220_at_B","rs29138639",0.011,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1445220_at_B","rsm10000006800",0.032,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1444827_at","rsm10000001901",0.023,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1435706_at_B","rsm10000001474",0.043,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1445220_at","rsm10000008939",0.00900000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1444827_at_B","rs46175605",0.016,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"A_55_P2000894","rsm10000000429",0.00800000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron"
"A_51_P491437","rsm10000011708",0.046,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1445220_at","rsm10000001711",0.017,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1444827_at","rsm10000070713",0.034,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1458043_at","rsm10000005791",0.047,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1444827_at","rsm10000012615",0.00600000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",5.99999999995049e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs46175605",0.04,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",1.89035916824398e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0.00032258064516133,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0.000178571428571472,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",4.27350427349982e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0.001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs46175605",8.000000000008e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",4.78468899521856e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",0.000666666666666704,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs46175605",4.46428571428958e-05,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",8.000000000008e-06,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs33566637",0.018,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs51195687",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"A_55_P2040539","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs46175605",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",0.001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",0.035,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",0.00800000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1459011_at","rsm10000005774",0.01,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1459011_at_B","rsm10000020539",0.012,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1459011_at_B","rsm10000013543",0.00800000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1459011_at","rsm10000006972",0.041,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); intron 6"
"1428989_at","rs46175605",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs13482934",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1428989_at","rs46175605",0.032,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1434769_at","rsm10000007207",0.046,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1434769_at","rsm10000012848",0.00949999999999995,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1434769_at_B","rsm10000012071",0.021,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1431230_a_at","rs28321986",0.002,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); last three exons"
"1440548_at","rsm10000006149",0.01,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
"1440548_at","rsm10000001072",0.011,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
"1431230_a_at","rs32860893",0.0026,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); last three exons"
"ILMN_2643933","rsm10000001432",0.041,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); exon 8"
"ENSMUSG00000062202",NA,0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"ENSMUSG00000062202",NA,0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"ENSMUSG00000062202",NA,0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3684143",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3695831",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs8247942",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3695831",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3695831",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs6249614",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3684143",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3656149",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3695831",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3023452",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3656149",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"10024411596","rs3695831",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1458719_at","rs13482928",0.009,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1428989_at","rs3662388",0.043,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1434769_at","rs6278471",0.025,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); distal 3' UTR"
"1440548_at","rs13479513",0.042,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
"1440548_at","rs13459139",0.047,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
"1458719_at","rs6206028",0.00600000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); putative far 3' UTR of Btbd9, and antisense in intron of G1p1r (test Mendelian 17.29, like Glo1, possible segmental duplication in some strains)"
"1444827_at","rs13478928",0.034,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1445220_at","CEL-10_45086769",0,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1444827_at","rs13481906",0.011,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1458043_at","rs13484031",0.00600000000000001,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate)"
"1440548_at","rs3699199",0.024,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
"1431230_a_at","rs6374078",0.02,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); last three exons"
"1440548_at","rs6211943",0.042,"BTB/POZ domain-containing protein 9 (restless leg syndrome candidate); second to last intron"
